i,local_result
558,15173
559,3755
560,14830
561,15220
562,15302
563,8482
564,8665
565,14372.5
566,4216
567,4349
568,19582
569,19869
570,17472
571,15738
572,15983
573,20070
574,4868
575,19614
576,4985
577,10652
578,10701
579,10879
580,19973
581,20078
582,5258
583,5368
584,5475
585,5519
586,11799
587,5692
588,5792
589,12303
590,23566
591,14312
592,20416
593,12838
594,6117
595,6168
596,24677
597,24936
598,25199
599,24568
600,22235.5
601,6540
602,6689
603,6713
604,8759
605,6780
606,23683
607,28428.5
608,9141
609,7128
610,7170
611,7243
612,7282
613,7307
614,28249
615,7567
616,7589
617,7627
618,7669
619,16227
620,18729
621,8005
622,8091
623,8227
624,20711
625,30197.5
626,27905.5
627,8422
628,8458
629,8563
630,8581
631,8732
632,8789
633,8809
634,8910
635,9042
636,9087
637,9218
638,9234
639,12104
640,9370
641,9461
642,9506
643,9638
644,9783
645,9813
646,9840
647,9985
648,10107
649,40990
650,39381
651,23604
652,10578
653,10665
654,38725
655,10734
656,37206
657,37456
658,11032
659,40919
660,22448
661,22624
662,11417
663,42929.5
664,8918.5
665,25781
666,14721
667,48271
668,48664
669,15024
670,27310
671,42026.5
672,242
673,6218
674,12744
675,24916
676,39533.5
677,247
678,13281
679,49206.5
680,53246
681,266
682,22776.5
683,14044
684,27010
685,27128
686,1436
687,43464.5
688,14443
689,14497
690,14680
691,14707
692,14769
693,14977
694,45627.5
695,47665
696,15306
697,8520
698,55217
699,15825
700,15906
701,16066
702,1682
703,1703
704,38043
705,27089.5
706,49479
707,58364
708,58721
709,59074
710,17642
711,1822
712,1824
713,37208
714,56041.5
715,38685
716,18138
717,62654.5
718,18235
719,10660
720,14982.5
721,18488
722,18542
723,63506.5
724,63842.5
725,58618
726,15595.5
727,10945
728,15702.5
729,56378.5
730,15786.5
731,15828.5
732,15904.5
733,15982.5
734,16056.5
735,16085.5
736,16132.5
737,16176.5
738,16218.5
739,16305.5
740,16345.5
741,46848
742,77406
743,20030
744,64450
745,20503
746,20792
747,45598
748,45908
749,72367.5
750,21816
751,363
752,906
753,1467.5
754,442.5
755,1867.5
756,2369
757,2647
758,2928
759,3348
760,3646.5
761,3928.5
762,4207.5
763,4299
764,4749
765,4857.5
766,5179
767,5415.5
768,5692
769,5521
770,3780.5
771,6529.5
772,6722.5
773,6657.5
774,7527
775,7194.5
776,7465.5
777,7732.5
778,7899
779,8266.5
780,8531.5
781,9409
782,9586.5
783,6108.5
784,9610.5
785,2786
786,10581.5
787,10417.5
788,10686.5
789,11520
790,11224.5
791,12084.5
792,11762.5
793,12639.5
794,13209.5
795,13058.5
796,10640
797,13097.5
798,12368.5
799,14308.5
800,14437.5
801,14864.5
802,15461.5
803,15151
804,16025.5
805,16307.5
806,16085.5
807,16536.5
808,16816.5
809,17091.5
810,17191.5
811,17468.5
812,17744.5
813,18200.5
814,17592.5
815,18757.5
816,19312
817,19117.5
818,19584.5
819,19862.5
820,19177.5
821,20803.5
822,21085.5
823,20057.5
824,21249.5
825,21527.5
826,19322.5
827,22417
828,21387.5
829,21572.5
830,21925.5
831,23455
832,22001
833,18778
834,18528
835,24669
836,24951
837,25230
838,19390
839,25791
840,26073
841,24853.5
842,26245.5
843,26916
844,20486
845,26814.5
846,27758
847,26450.5
848,27637.5
849,28161
850,27251.5
851,27521.5
852,22349
853,22548
854,22803
855,29958
856,29838.5
857,30516
858,23749
859,29531.5
860,3739.5
861,31627
862,30456.5
863,30647.5
864,24875
865,20323.5
866,31512.5
867,31779.5
868,28417.5
869,33195
870,7579
871,33974.5
872,34987.5
873,35267.5
874,35545.5
875,30084.5
876,35353.5
877,36464
878,36745
879,36943.5
880,37304
881,37585
882,35805.5
883,38067.5
884,33751.5
885,36609.5
886,38993
887,39190.5
888,37311
